account_id,customer_id,branch_id,account_type,balance,opened_date
1,2,2,CHECKING,96094.31,2018-01-02
2,3,3,CREDIT,4239.11,2018-01-03
3,4,4,SAVINGS,41616.88,2018-01-04
4,5,5,CHECKING,33870.01,2018-01-05
5,6,6,CREDIT,110602.45,2018-01-06
6,7,7,SAVINGS,101666.57,2018-01-07
7,8,8,CHECKING,133880.85,2018-01-08
8,9,9,CREDIT,13497.36,2018-01-09
9,10,10,SAVINGS,63577.31,2018-01-10
10,11,11,CHECKING,4954.68,2018-01-11
11,12,12,CREDIT,33186.38,2018-01-12
12,13,13,SAVINGS,76050.62,2018-01-13
13,14,14,CHECKING,4467.13,2018-01-14
14,15,15,CREDIT,30226.23,2018-01-15
15,16,16,SAVINGS,97657.72,2018-01-16
16,17,17,CHECKING,81968.75,2018-01-17
17,18,18,CREDIT,33455.87,2018-01-18
18,19,19,SAVINGS,88595.22,2018-01-19
19,20,20,CHECKING,121509.85,2018-01-20
20,21,21,CREDIT,1471.56,2018-01-21
21,22,22,SAVINGS,120969.98,2018-01-22
22,23,23,CHECKING,104871.84,2018-01-23
23,24,24,CREDIT,51367.45,2018-01-24
24,25,25,SAVINGS,23744.19,2018-01-25
25,26,26,CHECKING,143603.35,2018-01-26
26,27,27,CREDIT,50820.88,2018-01-27
27,28,28,SAVINGS,14365.5,2018-01-28
28,29,29,CHECKING,14959.1,2018-01-29
29,30,30,CREDIT,127200.41,2018-01-30
30,31,31,SAVINGS,90757.04,2018-01-31
31,32,32,CHECKING,121165.68,2018-02-01
32,33,33,CREDIT,109594.9,2018-02-02
33,34,34,SAVINGS,80666.1,2018-02-03
34,35,35,CHECKING,145980.81,2018-02-04
35,36,36,CREDIT,57090.89,2018-02-05
36,37,37,SAVINGS,83030.07,2018-02-06
37,38,38,CHECKING,124496.0,2018-02-07
38,39,39,CREDIT,92968.7,2018-02-08
39,40,40,SAVINGS,129325.18,2018-02-09
40,41,41,CHECKING,86814.15,2018-02-10
41,42,42,CREDIT,105833.49,2018-02-11
42,43,43,SAVINGS,7350.75,2018-02-12
43,44,44,CHECKING,34570.79,2018-02-13
44,45,45,CREDIT,43763.5,2018-02-14
45,46,46,SAVINGS,12428.9,2018-02-15
46,47,47,CHECKING,35302.24,2018-02-16
47,48,48,CREDIT,15599.71,2018-02-17
48,49,49,SAVINGS,42057.05,2018-02-18
49,50,50,CHECKING,95534.82,2018-02-19
50,51,1,CREDIT,55042.41,2018-02-20
51,52,2,SAVINGS,55842.05,2018-02-21
52,53,3,CHECKING,31821.3,2018-02-22
53,54,4,CREDIT,40413.18,2018-02-23
54,55,5,SAVINGS,140529.86,2018-02-24
55,56,6,CHECKING,97381.29,2018-02-25
56,57,7,CREDIT,91565.09,2018-02-26
57,58,8,SAVINGS,26085.23,2018-02-27
58,59,9,CHECKING,109504.46,2018-02-28
59,60,10,CREDIT,24928.67,2018-03-01
60,61,11,SAVINGS,57228.59,2018-03-02
61,62,12,CHECKING,148433.74,2018-03-03
62,63,13,CREDIT,96179.96,2018-03-04
63,64,14,SAVINGS,83763.99,2018-03-05
64,65,15,CHECKING,102849.83,2018-03-06
65,66,16,CREDIT,126506.36,2018-03-07
66,67,17,SAVINGS,116511.99,2018-03-08
67,68,18,CHECKING,34742.69,2018-03-09
68,69,19,CREDIT,5298.99,2018-03-10
69,70,20,SAVINGS,47660.23,2018-03-11
70,71,21,CHECKING,40527.26,2018-03-12
71,72,22,CREDIT,32041.94,2018-03-13
72,73,23,SAVINGS,141465.0,2018-03-14
73,74,24,CHECKING,131516.96,2018-03-15
74,75,25,CREDIT,47544.34,2018-03-16
75,76,26,SAVINGS,98488.08,2018-03-17
76,77,27,CHECKING,59646.97,2018-03-18
77,78,28,CREDIT,137224.86,2018-03-19
78,79,29,SAVINGS,69098.35,2018-03-20
79,80,30,CHECKING,40099.58,2018-03-21
80,81,31,CREDIT,37370.81,2018-03-22
81,82,32,SAVINGS,84424.54,2018-03-23
82,83,33,CHECKING,39779.87,2018-03-24
83,84,34,CREDIT,87895.61,2018-03-25
84,85,35,SAVINGS,134724.52,2018-03-26
85,86,36,CHECKING,60210.38,2018-03-27
86,87,37,CREDIT,33288.45,2018-03-28
87,88,38,SAVINGS,149631.87,2018-03-29
88,89,39,CHECKING,76674.18,2018-03-30
89,90,40,CREDIT,14090.96,2018-03-31
90,91,41,SAVINGS,7543.9,2018-04-01
91,92,42,CHECKING,16892.54,2018-04-02
92,93,43,CREDIT,94303.18,2018-04-03
93,94,44,SAVINGS,118915.86,2018-04-04
94,95,45,CHECKING,63612.92,2018-04-05
95,96,46,CREDIT,9997.39,2018-04-06
96,97,47,SAVINGS,57552.08,2018-04-07
97,98,48,CHECKING,149420.15,2018-04-08
98,99,49,CREDIT,79602.59,2018-04-09
99,100,50,SAVINGS,145676.22,2018-04-10
100,101,1,CHECKING,129186.57,2018-04-11
101,102,2,CREDIT,2216.41,2018-04-12
102,103,3,SAVINGS,108247.91,2018-04-13
103,104,4,CHECKING,102415.7,2018-04-14
104,105,5,CREDIT,80777.06,2018-04-15
105,106,6,SAVINGS,40390.37,2018-04-16
106,107,7,CHECKING,96323.79,2018-04-17
107,108,8,CREDIT,17177.05,2018-04-18
108,109,9,SAVINGS,65497.4,2018-04-19
109,110,10,CHECKING,68331.69,2018-04-20
110,111,11,CREDIT,143095.48,2018-04-21
111,112,12,SAVINGS,131440.01,2018-04-22
112,113,13,CHECKING,39876.66,2018-04-23
113,114,14,CREDIT,75337.62,2018-04-24
114,115,15,SAVINGS,27208.46,2018-04-25
115,116,16,CHECKING,136937.86,2018-04-26
116,117,17,CREDIT,130642.53,2018-04-27
117,118,18,SAVINGS,45117.5,2018-04-28
118,119,19,CHECKING,96022.95,2018-04-29
119,120,20,CREDIT,91541.05,2018-04-30
120,121,21,SAVINGS,23349.47,2018-05-01
121,122,22,CHECKING,114495.36,2018-05-02
122,123,23,CREDIT,81137.17,2018-05-03
123,124,24,SAVINGS,116904.66,2018-05-04
124,125,25,CHECKING,79787.87,2018-05-05
125,126,26,CREDIT,585.5,2018-05-06
126,127,27,SAVINGS,48961.33,2018-05-07
127,128,28,CHECKING,3411.77,2018-05-08
128,129,29,CREDIT,139400.24,2018-05-09
129,130,30,SAVINGS,131868.92,2018-05-10
130,131,31,CHECKING,124834.0,2018-05-11
131,132,32,CREDIT,46473.36,2018-05-12
132,133,33,SAVINGS,9159.81,2018-05-13
133,134,34,CHECKING,131762.44,2018-05-14
134,135,35,CREDIT,142068.94,2018-05-15
135,136,36,SAVINGS,13305.19,2018-05-16
136,137,37,CHECKING,73155.57,2018-05-17
137,138,38,CREDIT,10847.27,2018-05-18
138,139,39,SAVINGS,114210.02,2018-05-19
139,140,40,CHECKING,114992.25,2018-05-20
140,141,41,CREDIT,19694.52,2018-05-21
141,142,42,SAVINGS,71554.72,2018-05-22
142,143,43,CHECKING,82695.64,2018-05-23
143,144,44,CREDIT,40125.97,2018-05-24
144,145,45,SAVINGS,130928.74,2018-05-25
145,146,46,CHECKING,63759.12,2018-05-26
146,147,47,CREDIT,32163.83,2018-05-27
147,148,48,SAVINGS,81124.77,2018-05-28
148,149,49,CHECKING,109624.69,2018-05-29
149,150,50,CREDIT,30572.08,2018-05-30
150,151,1,SAVINGS,47101.59,2018-05-31
151,152,2,CHECKING,149274.83,2018-06-01
152,153,3,CREDIT,97656.77,2018-06-02
153,154,4,SAVINGS,65995.96,2018-06-03
154,155,5,CHECKING,77877.59,2018-06-04
155,156,6,CREDIT,18590.13,2018-06-05
156,157,7,SAVINGS,34092.25,2018-06-06
157,158,8,CHECKING,51043.79,2018-06-07
158,159,9,CREDIT,88452.15,2018-06-08
159,160,10,SAVINGS,34902.15,2018-06-09
160,161,11,CHECKING,33422.5,2018-06-10
161,162,12,CREDIT,11113.47,2018-06-11
162,163,13,SAVINGS,94849.89,2018-06-12
163,164,14,CHECKING,34726.8,2018-06-13
164,165,15,CREDIT,135860.29,2018-06-14
165,166,16,SAVINGS,129015.49,2018-06-15
166,167,17,CHECKING,11093.17,2018-06-16
167,168,18,CREDIT,36081.69,2018-06-17
168,169,19,SAVINGS,100512.18,2018-06-18
169,170,20,CHECKING,32528.4,2018-06-19
170,171,21,CREDIT,20280.62,2018-06-20
171,172,22,SAVINGS,140359.38,2018-06-21
172,173,23,CHECKING,85870.94,2018-06-22
173,174,24,CREDIT,71164.32,2018-06-23
174,175,25,SAVINGS,117800.6,2018-06-24
175,176,26,CHECKING,121220.8,2018-06-25
176,177,27,CREDIT,28966.28,2018-06-26
177,178,28,SAVINGS,14991.16,2018-06-27
178,179,29,CHECKING,64942.15,2018-06-28
179,180,30,CREDIT,63825.0,2018-06-29
180,181,31,SAVINGS,70320.19,2018-06-30
181,182,32,CHECKING,109496.84,2018-07-01
182,183,33,CREDIT,101168.0,2018-07-02
183,184,34,SAVINGS,147632.7,2018-07-03
184,185,35,CHECKING,15213.47,2018-07-04
185,186,36,CREDIT,60691.88,2018-07-05
186,187,37,SAVINGS,51225.74,2018-07-06
187,188,38,CHECKING,129320.04,2018-07-07
188,189,39,CREDIT,37674.12,2018-07-08
189,190,40,SAVINGS,28936.23,2018-07-09
190,191,41,CHECKING,67567.73,2018-07-10
191,192,42,CREDIT,63571.31,2018-07-11
192,193,43,SAVINGS,42142.5,2018-07-12
193,194,44,CHECKING,37846.06,2018-07-13
194,195,45,CREDIT,138528.21,2018-07-14
195,196,46,SAVINGS,66748.05,2018-07-15
196,197,47,CHECKING,129271.69,2018-07-16
197,198,48,CREDIT,82773.63,2018-07-17
198,199,49,SAVINGS,8062.96,2018-07-18
199,200,50,CHECKING,149892.73,2018-07-19
200,201,1,CREDIT,125486.12,2018-07-20
201,202,2,SAVINGS,145364.94,2018-07-21
202,203,3,CHECKING,138991.86,2018-07-22
203,204,4,CREDIT,127380.01,2018-07-23
204,205,5,SAVINGS,25363.51,2018-07-24
205,206,6,CHECKING,73103.35,2018-07-25
206,207,7,CREDIT,32455.22,2018-07-26
207,208,8,SAVINGS,60455.52,2018-07-27
208,209,9,CHECKING,9265.99,2018-07-28
209,210,10,CREDIT,57156.48,2018-07-29
210,211,11,SAVINGS,147803.67,2018-07-30
211,212,12,CHECKING,40147.86,2018-07-31
212,213,13,CREDIT,117718.55,2018-08-01
213,214,14,SAVINGS,68523.75,2018-08-02
214,215,15,CHECKING,63739.62,2018-08-03
215,216,16,CREDIT,143618.99,2018-08-04
216,217,17,SAVINGS,149315.69,2018-08-05
217,218,18,CHECKING,83587.36,2018-08-06
218,219,19,CREDIT,107902.04,2018-08-07
219,220,20,SAVINGS,23642.13,2018-08-08
220,221,21,CHECKING,44857.82,2018-08-09
221,222,22,CREDIT,145322.05,2018-08-10
222,223,23,SAVINGS,87087.45,2018-08-11
223,224,24,CHECKING,81558.18,2018-08-12
224,225,25,CREDIT,112322.35,2018-08-13
225,226,26,SAVINGS,9046.21,2018-08-14
226,227,27,CHECKING,87834.55,2018-08-15
227,228,28,CREDIT,75676.13,2018-08-16
228,229,29,SAVINGS,127981.62,2018-08-17
229,230,30,CHECKING,24036.19,2018-08-18
230,231,31,CREDIT,144136.45,2018-08-19
231,232,32,SAVINGS,12476.66,2018-08-20
232,233,33,CHECKING,28280.83,2018-08-21
233,234,34,CREDIT,89457.75,2018-08-22
234,235,35,SAVINGS,101444.28,2018-08-23
235,236,36,CHECKING,35662.98,2018-08-24
236,237,37,CREDIT,18423.05,2018-08-25
237,238,38,SAVINGS,133597.95,2018-08-26
238,239,39,CHECKING,37309.19,2018-08-27
239,240,40,CREDIT,89380.61,2018-08-28
240,241,41,SAVINGS,93097.54,2018-08-29
241,242,42,CHECKING,63174.12,2018-08-30
242,243,43,CREDIT,87759.01,2018-08-31
243,244,44,SAVINGS,78656.02,2018-09-01
244,245,45,CHECKING,140238.59,2018-09-02
245,246,46,CREDIT,31036.75,2018-09-03
246,247,47,SAVINGS,107570.67,2018-09-04
247,248,48,CHECKING,36183.55,2018-09-05
248,249,49,CREDIT,59669.98,2018-09-06
249,250,50,SAVINGS,100917.69,2018-09-07
250,251,1,CHECKING,45349.56,2018-09-08
251,252,2,CREDIT,47768.49,2018-09-09
252,253,3,SAVINGS,112903.74,2018-09-10
253,254,4,CHECKING,11345.2,2018-09-11
254,255,5,CREDIT,69013.69,2018-09-12
255,256,6,SAVINGS,149768.94,2018-09-13
256,257,7,CHECKING,149416.42,2018-09-14
257,258,8,CREDIT,11452.48,2018-09-15
258,259,9,SAVINGS,32366.57,2018-09-16
259,260,10,CHECKING,40147.46,2018-09-17
260,261,11,CREDIT,140022.28,2018-09-18
261,262,12,SAVINGS,132189.19,2018-09-19
262,263,13,CHECKING,131950.9,2018-09-20
263,264,14,CREDIT,55744.3,2018-09-21
264,265,15,SAVINGS,24083.15,2018-09-22
265,266,16,CHECKING,125144.87,2018-09-23
266,267,17,CREDIT,105679.22,2018-09-24
267,268,18,SAVINGS,91945.83,2018-09-25
268,269,19,CHECKING,148091.34,2018-09-26
269,270,20,CREDIT,98269.46,2018-09-27
270,271,21,SAVINGS,1669.55,2018-09-28
271,272,22,CHECKING,122657.07,2018-09-29
272,273,23,CREDIT,45257.12,2018-09-30
273,274,24,SAVINGS,99676.61,2018-10-01
274,275,25,CHECKING,140870.04,2018-10-02
275,276,26,CREDIT,20576.52,2018-10-03
276,277,27,SAVINGS,17756.59,2018-10-04
277,278,28,CHECKING,16501.88,2018-10-05
278,279,29,CREDIT,83206.93,2018-10-06
279,280,30,SAVINGS,41216.06,2018-10-07
280,281,31,CHECKING,90922.06,2018-10-08
281,282,32,CREDIT,107783.02,2018-10-09
282,283,33,SAVINGS,30937.8,2018-10-10
283,284,34,CHECKING,95318.57,2018-10-11
284,285,35,CREDIT,39965.59,2018-10-12
285,286,36,SAVINGS,73535.51,2018-10-13
286,287,37,CHECKING,135847.81,2018-10-14
287,288,38,CREDIT,126992.51,2018-10-15
288,289,39,SAVINGS,14298.62,2018-10-16
289,290,40,CHECKING,63824.58,2018-10-17
290,291,41,CREDIT,41863.69,2018-10-18
291,292,42,SAVINGS,1030.08,2018-10-19
292,293,43,CHECKING,115782.32,2018-10-20
293,294,44,CREDIT,95748.45,2018-10-21
294,295,45,SAVINGS,39662.31,2018-10-22
295,296,46,CHECKING,111314.02,2018-10-23
296,297,47,CREDIT,82976.22,2018-10-24
297,298,48,SAVINGS,64439.19,2018-10-25
298,299,49,CHECKING,1945.62,2018-10-26
299,300,50,CREDIT,11748.96,2018-10-27
300,301,1,SAVINGS,132524.41,2018-10-28
301,302,2,CHECKING,135637.32,2018-10-29
302,303,3,CREDIT,82065.75,2018-10-30
303,304,4,SAVINGS,125271.96,2018-10-31
304,305,5,CHECKING,87585.18,2018-11-01
305,306,6,CREDIT,22640.02,2018-11-02
306,307,7,SAVINGS,19553.11,2018-11-03
307,308,8,CHECKING,46584.62,2018-11-04
308,309,9,CREDIT,134897.73,2018-11-05
309,310,10,SAVINGS,119520.28,2018-11-06
310,311,11,CHECKING,129175.04,2018-11-07
311,312,12,CREDIT,134889.23,2018-11-08
