branch_id,branch_name,city,address
1,Branch #1,Lviv,1 Independence Ave
2,Branch #2,Kharkiv,2 Independence Ave
3,Branch #3,Odessa,3 Independence Ave
4,Branch #4,Dnipro,4 Independence Ave
5,Branch #5,Zaporizhzhia,5 Independence Ave
6,Branch #6,Vinnytsia,6 Independence Ave
7,Branch #7,Poltava,7 Independence Ave
8,Branch #8,Cherkasy,8 Independence Ave
9,Branch #9,Sumy,9 Independence Ave
10,Branch #10,Kyiv,10 Independence Ave
11,Branch #11,Lviv,11 Independence Ave
12,Branch #12,Kharkiv,12 Independence Ave
13,Branch #13,Odessa,13 Independence Ave
14,Branch #14,Dnipro,14 Independence Ave
15,Branch #15,Zaporizhzhia,15 Independence Ave
16,Branch #16,Vinnytsia,16 Independence Ave
17,Branch #17,Poltava,17 Independence Ave
18,Branch #18,Cherkasy,18 Independence Ave
19,Branch #19,Sumy,19 Independence Ave
20,Branch #20,Kyiv,20 Independence Ave
21,Branch #21,Lviv,21 Independence Ave
22,Branch #22,Kharkiv,22 Independence Ave
23,Branch #23,Odessa,23 Independence Ave
24,Branch #24,Dnipro,24 Independence Ave
25,Branch #25,Zaporizhzhia,25 Independence Ave
26,Branch #26,Vinnytsia,26 Independence Ave
27,Branch #27,Poltava,27 Independence Ave
28,Branch #28,Cherkasy,28 Independence Ave
29,Branch #29,Sumy,29 Independence Ave
30,Branch #30,Kyiv,30 Independence Ave
31,Branch #31,Lviv,31 Independence Ave
32,Branch #32,Kharkiv,32 Independence Ave
33,Branch #33,Odessa,33 Independence Ave
34,Branch #34,Dnipro,34 Independence Ave
35,Branch #35,Zaporizhzhia,35 Independence Ave
36,Branch #36,Vinnytsia,36 Independence Ave
37,Branch #37,Poltava,37 Independence Ave
38,Branch #38,Cherkasy,38 Independence Ave
39,Branch #39,Sumy,39 Independence Ave
40,Branch #40,Kyiv,40 Independence Ave
41,Branch #41,Lviv,41 Independence Ave
42,Branch #42,Kharkiv,42 Independence Ave
43,Branch #43,Odessa,43 Independence Ave
44,Branch #44,Dnipro,44 Independence Ave
45,Branch #45,Zaporizhzhia,45 Independence Ave
46,Branch #46,Vinnytsia,46 Independence Ave
47,Branch #47,Poltava,47 Independence Ave
48,Branch #48,Cherkasy,48 Independence Ave
49,Branch #49,Sumy,49 Independence Ave
50,Branch #50,Kyiv,50 Independence Ave
