transaction_id,account_id,employee_id,transaction_type,amount,transaction_date
1,2,2,WITHDRAWAL,49046.58,2023-03-19 04:06:15
2,3,3,TRANSFER,27227.85,2023-10-13 07:37:11
3,4,4,DEPOSIT,17940.11,2024-05-15 20:26:34
4,5,5,WITHDRAWAL,13801.31,2023-11-06 05:51:39
5,6,6,TRANSFER,47451.05,2023-04-05 21:13:19
6,7,7,DEPOSIT,4592.75,2023-12-20 04:32:46
7,8,8,WITHDRAWAL,32088.81,2023-06-14 17:56:20
8,9,9,TRANSFER,48554.95,2024-04-08 19:36:26
9,10,10,DEPOSIT,39341.86,2023-02-09 06:51:06
10,11,11,WITHDRAWAL,49441.16,2023-07-09 04:27:11
11,12,12,TRANSFER,10268.23,2024-03-14 12:29:46
12,13,13,DEPOSIT,10365.8,2024-03-06 11:10:55
13,14,14,WITHDRAWAL,40654.52,2023-06-17 17:37:29
14,15,15,TRANSFER,16434.69,2023-06-30 23:24:36
15,16,16,DEPOSIT,39434.3,2023-04-25 14:36:33
16,17,17,WITHDRAWAL,151.75,2024-04-07 21:54:10
17,18,18,TRANSFER,49376.49,2023-04-23 09:10:45
18,19,19,DEPOSIT,12540.2,2024-02-24 14:20:45
19,20,20,WITHDRAWAL,5505.22,2023-05-16 12:51:43
20,21,21,TRANSFER,6598.84,2023-01-21 00:34:36
21,22,22,DEPOSIT,39501.33,2023-10-06 06:07:12
22,23,23,WITHDRAWAL,29446.76,2023-07-04 19:21:59
23,24,24,TRANSFER,8720.57,2023-01-13 06:10:50
24,25,25,DEPOSIT,6346.66,2023-02-10 16:47:18
25,26,26,WITHDRAWAL,26309.02,2023-11-23 23:16:24
26,27,27,TRANSFER,23817.54,2023-02-19 08:48:27
27,28,28,DEPOSIT,25666.77,2023-10-09 04:53:44
28,29,29,WITHDRAWAL,22605.75,2023-03-26 16:54:50
29,30,30,TRANSFER,47271.33,2023-06-22 01:59:12
30,31,31,DEPOSIT,36364.88,2023-02-03 16:22:58
31,32,32,WITHDRAWAL,26077.35,2024-05-26 18:50:36
32,33,33,TRANSFER,32170.6,2023-12-22 18:31:53
33,34,34,DEPOSIT,3050.66,2023-01-25 04:41:24
34,35,35,WITHDRAWAL,42366.45,2024-01-08 00:52:11
35,36,36,TRANSFER,34308.01,2023-11-28 02:18:58
36,37,37,DEPOSIT,35622.94,2024-01-16 19:16:25
37,38,38,WITHDRAWAL,3683.8,2023-12-11 12:36:04
38,39,39,TRANSFER,16112.37,2023-03-04 18:02:37
39,40,40,DEPOSIT,3293.45,2023-04-26 05:08:34
40,41,41,WITHDRAWAL,31219.63,2023-08-02 14:40:11
41,42,42,TRANSFER,27422.34,2024-03-30 15:59:19
42,43,43,DEPOSIT,19051.41,2023-09-10 13:53:45
43,44,44,WITHDRAWAL,26532.54,2024-04-09 00:11:28
44,45,45,TRANSFER,25282.5,2023-12-19 09:52:06
45,46,46,DEPOSIT,4967.93,2023-12-01 03:29:48
46,47,47,WITHDRAWAL,42641.11,2023-03-30 20:49:58
47,48,48,TRANSFER,43886.53,2024-05-20 13:57:57
48,49,49,DEPOSIT,36044.79,2024-03-04 05:38:00
49,50,50,WITHDRAWAL,21509.2,2023-06-17 00:19:13
50,51,51,TRANSFER,20696.54,2023-06-27 11:25:44
51,52,52,DEPOSIT,19942.52,2023-12-19 05:49:56
52,53,53,WITHDRAWAL,15634.29,2023-03-15 20:31:42
53,54,54,TRANSFER,33258.74,2023-08-31 17:51:41
54,55,55,DEPOSIT,47680.09,2023-10-18 17:28:36
55,56,56,WITHDRAWAL,3365.99,2024-01-04 08:59:39
56,57,57,TRANSFER,4670.57,2023-03-08 07:18:25
57,58,58,DEPOSIT,37232.0,2023-03-17 00:05:29
58,59,59,WITHDRAWAL,40590.35,2023-10-17 10:38:27
59,60,60,TRANSFER,3008.45,2024-03-08 03:30:08
60,61,61,DEPOSIT,28088.55,2024-03-12 04:43:46
61,62,62,WITHDRAWAL,20546.32,2023-04-05 22:33:22
62,63,63,TRANSFER,43405.93,2023-11-25 12:06:51
63,64,64,DEPOSIT,48420.25,2023-02-09 23:01:27
64,65,65,WITHDRAWAL,15629.32,2024-04-11 08:27:19
65,66,66,TRANSFER,28900.15,2023-03-22 11:15:16
66,67,67,DEPOSIT,7744.96,2023-06-15 05:44:19
67,68,68,WITHDRAWAL,11220.0,2024-01-10 12:39:42
68,69,69,TRANSFER,17512.2,2023-03-26 01:20:12
69,70,70,DEPOSIT,18384.38,2024-03-08 01:32:24
70,71,71,WITHDRAWAL,28709.26,2023-08-05 08:53:16
71,72,72,TRANSFER,42259.31,2023-11-30 07:14:06
72,73,73,DEPOSIT,30682.53,2024-04-27 21:46:18
73,74,74,WITHDRAWAL,27841.42,2024-05-14 04:46:50
74,75,75,TRANSFER,46454.92,2024-04-18 00:29:16
75,76,76,DEPOSIT,1457.37,2023-07-27 17:35:13
76,77,77,WITHDRAWAL,35137.91,2023-08-01 06:07:45
77,78,78,TRANSFER,46077.66,2023-08-28 23:53:31
78,79,79,DEPOSIT,315.23,2023-09-30 15:33:03
79,80,80,WITHDRAWAL,28320.39,2023-04-22 06:24:04
80,81,81,TRANSFER,3488.58,2023-11-08 07:09:42
81,82,82,DEPOSIT,48590.8,2024-05-06 19:10:54
82,83,83,WITHDRAWAL,37308.13,2023-03-13 06:29:13
83,84,84,TRANSFER,18815.96,2023-06-17 02:22:03
84,85,85,DEPOSIT,17051.39,2023-12-19 08:34:13
85,86,86,WITHDRAWAL,15588.75,2023-10-15 10:17:22
86,87,87,TRANSFER,38844.01,2023-09-09 22:56:07
87,88,88,DEPOSIT,29815.23,2024-03-16 20:42:38
88,89,89,WITHDRAWAL,7787.44,2023-02-10 20:41:58
89,90,90,TRANSFER,2497.63,2024-04-24 21:20:18
90,91,91,DEPOSIT,13612.42,2023-03-05 08:47:23
91,92,92,WITHDRAWAL,21206.5,2024-05-29 03:25:53
92,93,93,TRANSFER,22107.79,2024-04-16 12:43:01
93,94,94,DEPOSIT,10786.29,2023-08-01 04:11:56
94,95,95,WITHDRAWAL,5699.74,2024-02-02 22:49:38
95,96,96,TRANSFER,5553.38,2023-11-30 22:10:15
96,97,97,DEPOSIT,24336.77,2024-04-05 16:49:25
97,98,98,WITHDRAWAL,2280.41,2023-08-28 13:21:15
98,99,99,TRANSFER,49222.44,2023-11-04 00:14:37
99,100,100,DEPOSIT,394.28,2023-02-12 13:12:35
100,101,101,WITHDRAWAL,47266.75,2023-08-23 02:51:50
101,102,102,TRANSFER,38210.4,2023-04-17 14:14:31
102,103,103,DEPOSIT,16412.84,2023-08-13 19:41:08
103,104,104,WITHDRAWAL,24874.29,2023-01-07 00:05:45
104,105,105,TRANSFER,8792.98,2023-12-01 11:59:28
105,106,106,DEPOSIT,26633.79,2023-10-23 07:34:49
106,107,107,WITHDRAWAL,25018.11,2023-06-28 17:34:28
107,108,108,TRANSFER,3613.05,2023-10-03 02:09:16
108,109,109,DEPOSIT,21816.62,2023-02-02 20:34:16
109,110,110,WITHDRAWAL,46058.91,2023-12-24 02:26:25
110,111,111,TRANSFER,28792.2,2023-09-01 03:52:23
111,112,112,DEPOSIT,20227.1,2024-03-21 08:56:41
112,113,113,WITHDRAWAL,20890.52,2024-05-12 05:06:20
113,114,114,TRANSFER,20257.57,2023-03-31 10:59:14
114,115,115,DEPOSIT,8601.94,2023-09-10 06:07:03
115,116,116,WITHDRAWAL,23010.24,2024-04-25 02:41:24
116,117,117,TRANSFER,4415.61,2023-10-09 01:25:23
117,118,118,DEPOSIT,12173.39,2023-03-24 05:25:54
118,119,119,WITHDRAWAL,20028.49,2024-04-02 09:21:23
119,120,120,TRANSFER,19794.38,2023-03-03 02:05:16
120,121,121,DEPOSIT,37292.78,2023-08-29 23:56:13
121,122,122,WITHDRAWAL,16660.1,2023-06-22 02:24:09
122,123,123,TRANSFER,3828.21,2023-05-11 14:13:15
123,124,124,DEPOSIT,5710.19,2024-05-06 20:09:48
124,125,125,WITHDRAWAL,9703.25,2024-02-01 02:11:43
125,126,126,TRANSFER,17561.48,2023-09-29 08:49:37
126,127,127,DEPOSIT,40753.7,2024-05-16 07:55:44
127,128,128,WITHDRAWAL,5149.2,2023-07-03 12:22:14
128,129,129,TRANSFER,9871.62,2023-07-18 19:35:36
129,130,130,DEPOSIT,7651.96,2024-04-12 21:31:51
130,131,131,WITHDRAWAL,3776.91,2024-05-24 03:34:25
131,132,132,TRANSFER,24710.91,2024-05-02 17:48:48
132,133,133,DEPOSIT,37996.26,2024-03-13 20:47:27
133,134,134,WITHDRAWAL,34059.86,2023-12-15 16:12:01
134,135,135,TRANSFER,32153.16,2024-03-14 10:53:22
135,136,136,DEPOSIT,16167.18,2024-04-30 01:55:47
136,137,137,WITHDRAWAL,15813.78,2024-05-02 04:10:47
137,138,138,TRANSFER,3423.63,2023-12-08 13:46:23
138,139,139,DEPOSIT,31572.94,2023-12-10 11:21:20
139,140,140,WITHDRAWAL,29575.07,2023-08-02 08:17:17
140,141,141,TRANSFER,25371.77,2023-10-01 08:40:42
141,142,142,DEPOSIT,23092.51,2023-08-30 02:25:18
142,143,143,WITHDRAWAL,2853.93,2023-01-30 05:02:59
143,144,144,TRANSFER,3845.78,2023-08-11 23:30:13
144,145,145,DEPOSIT,30754.27,2023-03-12 03:14:55
145,146,146,WITHDRAWAL,19230.28,2024-01-29 20:25:45
146,147,147,TRANSFER,27720.28,2024-03-26 18:07:27
147,148,148,DEPOSIT,22492.19,2023-02-01 20:43:07
148,149,149,WITHDRAWAL,32595.35,2024-03-20 00:27:10
149,150,150,TRANSFER,30254.24,2023-09-07 17:41:35
150,151,151,DEPOSIT,7551.55,2024-01-25 10:09:50
151,152,152,WITHDRAWAL,22531.65,2023-02-18 01:24:33
152,153,153,TRANSFER,49119.46,2023-09-24 18:08:38
153,154,154,DEPOSIT,25232.4,2023-03-07 12:00:32
154,155,155,WITHDRAWAL,1966.71,2023-05-15 00:43:52
155,156,156,TRANSFER,49549.39,2023-12-07 00:24:20
156,157,157,DEPOSIT,26142.17,2024-02-12 01:20:45
157,158,158,WITHDRAWAL,18201.26,2023-05-04 07:14:37
158,159,159,TRANSFER,19376.95,2023-08-08 17:31:06
159,160,160,DEPOSIT,33948.1,2023-09-20 19:37:14
160,161,161,WITHDRAWAL,39463.45,2023-02-10 16:09:50
161,162,162,TRANSFER,16739.12,2024-05-17 18:38:47
162,163,163,DEPOSIT,4734.35,2023-09-14 01:52:52
163,164,164,WITHDRAWAL,14214.51,2023-10-28 06:04:44
164,165,165,TRANSFER,48220.86,2024-05-24 23:14:29
165,166,166,DEPOSIT,43665.25,2024-04-13 03:09:26
166,167,167,WITHDRAWAL,4084.28,2023-09-16 22:19:07
167,168,168,TRANSFER,7080.0,2024-05-30 10:37:34
168,169,169,DEPOSIT,15518.48,2023-09-29 17:07:55
169,170,170,WITHDRAWAL,34927.01,2024-05-24 13:44:46
170,171,171,TRANSFER,6456.29,2023-11-01 10:37:35
171,172,172,DEPOSIT,15486.0,2023-03-07 19:16:36
172,173,173,WITHDRAWAL,32178.23,2023-10-20 13:48:40
173,174,174,TRANSFER,40661.11,2023-09-13 03:14:48
174,175,175,DEPOSIT,4681.71,2024-02-13 20:40:59
175,176,176,WITHDRAWAL,25429.34,2023-11-25 20:52:00
176,177,177,TRANSFER,18136.26,2023-01-15 03:50:30
177,178,178,DEPOSIT,47558.95,2023-05-21 00:20:39
178,179,179,WITHDRAWAL,47383.94,2023-09-23 10:21:09
179,180,180,TRANSFER,9608.34,2024-01-13 16:44:49
